"reg_no","title_front","name","surname","title_back","PIN","city"
12356,"Mgr.","Karel","Nejtek","",70099359,"Øitka"
13781,"Mgr.","Miroslav","Pyskatı","",64820327,"Øeèany nad Labem"
8852,"JUDr.","Alena","Buriánová","",66248787,"Øevnice"
8943,"JUDr.","Zuzana","Hlistová","",66247152,"Øevnice"
10903,"Mgr.","Karel","Šebesta","",71457232,"Øevnice"
1409,"JUDr.","Milada","Špaòhelová","",61091561,"Øevnice"
2266,"Mgr.","Rudolf","Krejèík","",47004819,"Øevnice"
8930,"Mgr.","Ludmila","Šimsová","",66246903,"Øevnice"
3844,"JUDr.","Marie","Oswaldová","",66224969,"Øehenice"
11590,"JUDr.","Stanislav","Polèák","",75711389,"Øehenice"
4014,"Mgr. Ing.","Pavel","Bezouška","",66224586,"Èáslav"
4162,"JUDr.","Oldøich","Skalák","",16530420,"Èáslav"
7993,"JUDr.","Vlastislav","Málek","",66226341,"Èáslav"
9975,"Mgr.","Petra","Civínová","",66256691,"Èáslav"
12365,"Mgr.","Miroslav","Schüller","",71472126,"Èáslav"
12448,"Mgr.","Tomáš","Hobl","",71471740,"Èáslav"
14145,"Mgr.","Marie","Ivièiè Kotláøová","",71253203,"Èáslav"
15332,"Mgr.","Jan","Špitz","",2283671,"Èáslav"
16097,"Mgr.","Alena","Stehlíková","",3661105,"Èáslav"
16717,"Mgr.","Aleš","Hrubı","",4662296,"Èáslav"
333,"JUDr.","Anna","Krúpová","",66200288,"Èáslav"
1513,"JUDr.","Renáta","Kadlubcová","",66218829,"Èeskı Tìšín"
1896,"JUDr.","Kvìta","Volfová","",44738293,"Èeskı Tìšín"
4819,"Mgr.","Dana","Galuszková","",66243475,"Èeskı Tìšín"
4884,"Mgr.","Bogdan","Hajduk","",45219958,"Èeskı Tìšín"
4958,"JUDr.","Alicja","Branna","",66244692,"Èeskı Tìšín"
7478,"JUDr.","Bronislav","Sikora","",60031794,"Èeskı Tìšín"
9493,"Mgr.","Marek","Jeek","",66252911,"Èeskı Tìšín"
9620,"Mgr.","Adam","Russ","",66253870,"Èeskı Tìšín"
9717,"JUDr.","Marek","Jakubík","",66254396,"Èeskı Tìšín"
9718,"Mgr.","Beata","Kaczynská","",66254400,"Èeskı Tìšín"
9722,"Mgr.","Eva","Lotterová","",66254426,"Èeskı Tìšín"
10583,"Mgr.","Janusz","Sabela","",73008524,"Èeskı Tìšín"
10619,"Mgr.","Daniel","Siwy","",71332685,"Èeskı Tìšín"
11638,"Mgr.","Piotr","Adamczyk","",71467157,"Èeskı Tìšín"
11861,"Mgr.","Alexandr","Wojnar","",71465057,"Èeskı Tìšín"
12069,"Mgr.","Eva","Hila","",71469974,"Èeskı Tìšín"
12346,"Mgr.","Richard","Koliba","",71471006,"Èeskı Tìšín"
12536,"Mgr.","Tomáš","Jakubík","",71472088,"Èeskı Tìšín"
12590,"Mgr.","Katarzyna","Siwa","",72014661,"Èeskı Tìšín"
13184,"Mgr.","Marian","Sikora","",71345931,"Èeskı Tìšín"
13721,"Mgr.","Oskar","Povetz","",73628913,"Èeskı Tìšín"
14050,"Mgr.","Karla","Chwistková","",73611611,"Èeskı Tìšín"
14535,"Mgr.","Martin","Tomala","",1068679,"Èeskı Tìšín"
14843,"Mgr. et Mgr.","Robert","Kufa","",73865672,"Èeskı Tìšín"
